Sample	per_tile_sequence_quality	per_base_n_content	%GC	avg_sequence_length	File type	Total Sequences	per_base_sequence_quality	per_sequence_gc_content	Sequence length	basic_statistics	per_base_sequence_content	Sequences flagged as poor quality	sequence_duplication_levels	overrepresented_sequences	Encoding	total_deduplicated_percentage	adapter_content	sequence_length_distribution	per_sequence_quality_scores	Filename
SRR6703987_frozen_507f_1	fail	pass	49.0	51.0	Conventional base calls	28174378.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	82.27063248237286	pass	pass	pass	SRR6703987_frozen_507f_1.fastq.gz
SRR6703987_frozen_507f_1_fastqc | SRR6703987_frozen_507f_1	fail	pass	49.0	51.0	Conventional base calls	28174378.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	82.27063248237286	pass	pass	pass	SRR6703987_frozen_507f_1.fastq.gz
SRR6703987_frozen_507f_1_val_1	fail	pass	48.0	50.77969629130188	Conventional base calls	27819223.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	82.8731774113997	pass	warn	pass	SRR6703987_frozen_507f_1_val_1.fq.gz
SRR6703987_frozen_507f_2	pass	pass	48.0	51.0	Conventional base calls	28174378.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	82.86216312046105	pass	pass	pass	SRR6703987_frozen_507f_2.fastq.gz
SRR6703987_frozen_507f_2_fastqc | SRR6703987_frozen_507f_2	pass	pass	48.0	51.0	Conventional base calls	28174378.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	82.86216312046105	pass	pass	pass	SRR6703987_frozen_507f_2.fastq.gz
SRR6703987_frozen_507f_2_val_2	pass	pass	48.0	50.57466421689779	Conventional base calls	27819223.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	83.72730027645753	pass	warn	pass	SRR6703987_frozen_507f_2_val_2.fq.gz
SRR6703988_frozen_510_1	pass	pass	49.0	51.0	Conventional base calls	23133279.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	86.98956552588432	pass	pass	pass	SRR6703988_frozen_510_1.fastq.gz
SRR6703988_frozen_510_1_fastqc | SRR6703988_frozen_510_1	pass	pass	49.0	51.0	Conventional base calls	23133279.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	86.98956552588432	pass	pass	pass	SRR6703988_frozen_510_1.fastq.gz
SRR6703988_frozen_510_1_val_1	pass	pass	49.0	50.78923951040071	Conventional base calls	22837288.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	87.40287511649866	pass	warn	pass	SRR6703988_frozen_510_1_val_1.fq.gz
SRR6703988_frozen_510_2	pass	pass	49.0	51.0	Conventional base calls	23133279.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	87.2675147349885	pass	pass	pass	SRR6703988_frozen_510_2.fastq.gz
SRR6703988_frozen_510_2_fastqc | SRR6703988_frozen_510_2	pass	pass	49.0	51.0	Conventional base calls	23133279.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	87.2675147349885	pass	pass	pass	SRR6703988_frozen_510_2.fastq.gz
SRR6703988_frozen_510_2_val_2	pass	pass	49.0	50.564305621578185	Conventional base calls	22837288.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	87.72544877217507	pass	warn	pass	SRR6703988_frozen_510_2_val_2.fq.gz
SRR6703989_frozen_510f_1	warn	pass	49.0	51.0	Conventional base calls	20812748.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	79.90282446860584	pass	pass	pass	SRR6703989_frozen_510f_1.fastq.gz
SRR6703989_frozen_510f_1_fastqc | SRR6703989_frozen_510f_1	warn	pass	49.0	51.0	Conventional base calls	20812748.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	79.90282446860584	pass	pass	pass	SRR6703989_frozen_510f_1.fastq.gz
SRR6703989_frozen_510f_1_val_1	warn	pass	48.0	50.798402023948626	Conventional base calls	20556253.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	80.28038219331229	pass	warn	pass	SRR6703989_frozen_510f_1_val_1.fq.gz
SRR6703989_frozen_510f_2	pass	pass	48.0	51.0	Conventional base calls	20812748.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	80.68251260598277	pass	pass	pass	SRR6703989_frozen_510f_2.fastq.gz
SRR6703989_frozen_510f_2_fastqc | SRR6703989_frozen_510f_2	pass	pass	48.0	51.0	Conventional base calls	20812748.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	80.68251260598277	pass	pass	pass	SRR6703989_frozen_510f_2.fastq.gz
SRR6703989_frozen_510f_2_val_2	pass	pass	48.0	50.596456562390046	Conventional base calls	20556253.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	80.54508258344634	pass	warn	pass	SRR6703989_frozen_510f_2_val_2.fq.gz
